Track_ID,Title,Artist,Album,Label,Genre,Subgenre1,Subgenre2,BPM,Key,Mood1,Mood2,Light,URL,YouTube_URL,YouTube_title,YouTube_match_score,Camelot,Audio_analysis_source
PL01_0012,ID Please,Morpei,ID Please - Single,,Techno,Techhouse,Funk,129.2,D major,groovy,bouncy,bright,,https://www.youtube.com/watch?v=2v8-1d6HJ1A,ID Please,72,10B,YouTube_audio_analysis
PL01_0013,Self R3B00T,Davi,Self Align - Single,,Techno,Driving,Progressive,123,G# minor,groovy,emotional,dark,,https://www.youtube.com/watch?v=2qGlUhFonPA,DAVI - Self R3BOOT,82.35294118,1A,YouTube_audio_analysis
PL01_0014,Midnite Man (Tim Paris Remix),Silicone Soul,The Soma 20 (Remixes),,Techno,Minimal,Techhouse,123,A minor,sleek,groovy,dark,,https://www.youtube.com/watch?v=YYiscKBsah0,Silicone Soul - Midnite Man (Tim Paris Remix),97.72727273,8A,YouTube_audio_analysis
PL01_0015,Skyfall,Nick Curly,Skyfall - Single,,House,Driving,Progressive,123,G minor,sleek,groovy,dark,,https://www.youtube.com/watch?v=ezDxOH-NWe8,Nick Curly - Skyfall,94.73684211,6A,YouTube_audio_analysis
PL01_0016,Among Us,Davi,Among Us - Single,,Techno,Driving,Progressive,123,C minor,groovy,emotional,dark,,https://www.youtube.com/watch?v=Ny0BjyJyyJI,DAVI  - Among US,89.65517241,5A,YouTube_audio_analysis
PL01_0017,Known...Unknown...,Brunello,Known...Unknown... - Single,,Techno,Driving,Mellow,129.2,B minor,groovy,sleek,dark,,https://www.youtube.com/watch?v=IlMNyrgkmSA,Known... Unknown...,78.26086957,10A,YouTube_audio_analysis
PL01_0018,Levitate,Gorge,Deeper Love - EP,,House,Driving,Progressive,123,F minor,groovy,emotional,dark,,https://www.youtube.com/watch?v=-F4qjbTWI7c,Levitate,72.72727273,4A,YouTube_audio_analysis
PL01_0019,Three,Gorge,Keep On Movin' - EP,,Techno,Progressive,Driving,123,A minor,emotional,groovy,dark,,https://www.youtube.com/watch?v=DbvMZGoN10s,Gorge - Three,91.66666667,8A,YouTube_audio_analysis
PL01_0020,Take U,Gorge,Be Yourself - Single,,House,Progressive,Driving,123,E major,hypnotic,groovy,dark,,https://www.youtube.com/watch?v=Exoha2bhUVY,Gorge - Take U,92.30769231,12B,YouTube_audio_analysis
PL01_0021,There Is No Orb,Guy Contact,Desert Portal - EP,,House,Acid,,123,D minor,happy,bouncy,bright,,https://www.youtube.com/watch?v=lePWs1LAhBw,Guy Contact - There Is No Orb [ONO Records],77.14285714,7A,YouTube_audio_analysis
PL01_0022,Indio Hindu,Mira (Berlin) & Christopher Schwarzwälder,Leila,,Techno,Minimal,Progressive,117.5,G minor,sleek,hypnotic,dark,,https://www.youtube.com/watch?v=NrABKhoI5SE,🎼MIra &amp; Chris Schwarzwalder - Indio Hindu,75.51020408,6A,YouTube_audio_analysis
PL01_0023,Magma,Kohra & SHFT,Osiris - Single,,Techno,Driving,Psytech,123,B major,hypnotic,groovy,dark,,https://www.youtube.com/watch?v=qs3nPSbkAsE,Kohra &amp; SHFT - Magma,85.71428571,1B,YouTube_audio_analysis
PL01_0024,Clarity (feat. David A Diaz),Mike Griego,Clarity (feat. David A Diaz) - Single,,House,Progressive,Driving,117.5,E minor,groovy,emotional,dark,,https://www.youtube.com/watch?v=U4DJNHDVLs8,Mike Griego &amp; David A Diaz - Clarity,65,9A,YouTube_audio_analysis
PL01_0025,Rainy Days,Etzu Mahkayah,Midnight Cruise - EP,,Techno,Minimal,Driving,123,B minor,hypnotic,sleek,dark,,https://www.youtube.com/watch?v=O27WnFnN_1M,Etzu Mahkayah - That Place,68,10A,YouTube_audio_analysis
PL01_0026,Self CNTRL,Davi,Self Align - Single,,Techno,Driving,Progressive,123,G minor,groovy,emotional,dark,,https://www.youtube.com/watch?v=j3SJz4DQWAs,DAVI - Self CNTRL,93.75,6A,YouTube_audio_analysis
PL01_0027,Departure,Adisyn,Departure - Single,,Techno,Minimal,,123,F minor,sleek,,dark,,https://www.youtube.com/watch?v=HHO-B7bYtPQ,Adisyn - Departure,94.11764706,4A,YouTube_audio_analysis
PL01_0028,Fantasmi,Camion Bazar,Sangue - EP,,Techno,Driving,Hard,92.3,A# minor,hypnotic,groovy,dark,,https://www.youtube.com/watch?v=wDAdQeleR48,Camion Bazar - Emo Goblin,65.2173913,3A,YouTube_audio_analysis
PL01_0029,Kaleido,Marek Hemmann,In Between,,Electronic,Minimal,,123,A minor,sleek,,bright,,https://www.youtube.com/watch?v=4Lp62hv95cQ,Marek Hemmann - Kaleido,95.45454545,8A,YouTube_audio_analysis
